node_count,average_time,is_isomorphic
10,0.000002,true
10,0.000005,false
20,0.000003,true
20,0.000004,false
30,0.000003,true
30,0.000004,false
40,0.000006,true
40,0.000005,false
50,0.000005,true
50,0.000005,false
60,0.000006,true
60,0.000006,false
70,0.000007,true
70,0.000009,false
80,0.000008,true
80,0.000012,false
90,0.000013,true
90,0.000011,false
100,0.000012,true
100,0.000013,false
110,0.000017,true
110,0.000016,false
120,0.000016,true
120,0.000016,false
130,0.000019,true
130,0.000019,false
140,0.000021,true
140,0.000022,false
150,0.000023,true
150,0.000024,false
160,0.000026,true
160,0.000027,false
170,0.000028,true
170,0.000030,false
180,0.000030,true
180,0.000031,false
190,0.000032,true
190,0.000034,false
200,0.000038,true
200,0.000042,false
210,0.000040,true
210,0.000043,false
220,0.000044,true
220,0.000047,false
230,0.000041,true
230,0.000046,false
240,0.000048,true
240,0.000054,false
250,0.000050,true
250,0.000053,false
260,0.000055,true
260,0.000056,false
270,0.000054,true
270,0.000067,false
280,0.000062,true
280,0.000065,false
290,0.000066,true
290,0.000071,false
300,0.000074,true
300,0.000075,false
310,0.000076,true
310,0.000076,false
320,0.000072,true
320,0.000086,false
330,0.000089,true
330,0.000094,false
340,0.000090,true
340,0.000091,false
350,0.000094,true
350,0.000102,false
360,0.000108,true
360,0.000106,false
370,0.000103,true
370,0.000106,false
380,0.000106,true
380,0.000115,false
390,0.000123,true
390,0.000127,false
400,0.000125,true
400,0.000127,false
410,0.000126,true
410,0.000131,false
420,0.000130,true
420,0.000138,false
430,0.000139,true
430,0.000148,false
440,0.000151,true
440,0.000148,false
450,0.000153,true
450,0.000157,false
460,0.000157,true
460,0.000165,false
470,0.000175,true
470,0.000182,false
480,0.000179,true
480,0.000175,false
490,0.000183,true
490,0.000180,false
500,0.000171,true
500,0.000182,false
