node_count,average_time,is_isomorphic
10,0.000002,true
10,0.000002,false
20,0.000002,true
20,0.000002,false
30,0.000002,true
30,0.000002,false
40,0.000003,true
40,0.000004,false
50,0.000005,true
50,0.000005,false
60,0.000007,true
60,0.000007,false
70,0.000013,true
70,0.000012,false
80,0.000016,true
80,0.000015,false
90,0.000020,true
90,0.000020,false
100,0.000024,true
100,0.000024,false
110,0.000028,true
110,0.000028,false
120,0.000035,true
120,0.000034,false
130,0.000040,true
130,0.000040,false
140,0.000047,true
140,0.000045,false
150,0.000052,true
150,0.000051,false
160,0.000058,true
160,0.000058,false
170,0.000065,true
170,0.000066,false
180,0.000073,true
180,0.000073,false
190,0.000081,true
190,0.000081,false
200,0.000090,true
200,0.000090,false
210,0.000100,true
210,0.000099,false
220,0.000105,true
220,0.000107,false
230,0.000118,true
230,0.000116,false
240,0.000126,true
240,0.000126,false
250,0.000138,true
250,0.000137,false
260,0.000151,true
260,0.000150,false
270,0.000162,true
270,0.000159,false
280,0.000169,true
280,0.000172,false
290,0.000183,true
290,0.000183,false
300,0.000194,true
300,0.000194,false
310,0.000207,true
310,0.000207,false
320,0.000221,true
320,0.000221,false
330,0.000236,true
330,0.000244,false
340,0.000249,true
340,0.000249,false
350,0.000263,true
350,0.000265,false
360,0.000278,true
360,0.000280,false
370,0.000291,true
370,0.000292,false
380,0.000306,true
380,0.000307,false
390,0.000325,true
390,0.000325,false
400,0.000343,true
400,0.000340,false
410,0.000356,true
410,0.000357,false
420,0.000374,true
420,0.000375,false
430,0.000391,true
430,0.000391,false
440,0.000411,true
440,0.000408,false
450,0.000433,true
450,0.000429,false
460,0.000448,true
460,0.000448,false
470,0.000469,true
470,0.000464,false
480,0.000485,true
480,0.000484,false
490,0.000506,true
490,0.000501,false
500,0.000526,true
500,0.000528,false
