node_count,average_time,is_isomorphic
10,0.000002,true
10,0.000002,false
20,0.000001,true
20,0.000002,false
30,0.000003,true
30,0.000003,false
40,0.000004,true
40,0.000004,false
50,0.000005,true
50,0.000005,false
60,0.000007,true
60,0.000007,false
70,0.000012,true
70,0.000012,false
80,0.000017,true
80,0.000016,false
90,0.000020,true
90,0.000019,false
100,0.000025,true
100,0.000025,false
110,0.000034,true
110,0.000030,false
120,0.000034,true
120,0.000034,false
130,0.000041,true
130,0.000041,false
140,0.000047,true
140,0.000046,false
150,0.000052,true
150,0.000054,false
160,0.000060,true
160,0.000059,false
170,0.000067,true
170,0.000066,false
180,0.000073,true
180,0.000074,false
190,0.000082,true
190,0.000082,false
200,0.000092,true
200,0.000091,false
210,0.000100,true
210,0.000099,false
220,0.000109,true
220,0.000108,false
230,0.000125,true
230,0.000117,false
240,0.000128,true
240,0.000126,false
250,0.000141,true
250,0.000137,false
260,0.000152,true
260,0.000149,false
270,0.000160,true
270,0.000160,false
280,0.000171,true
280,0.000174,false
290,0.000190,true
290,0.000183,false
300,0.000201,true
300,0.000195,false
310,0.000213,true
310,0.000223,false
320,0.000229,true
320,0.000224,false
330,0.000249,true
330,0.000240,false
340,0.000262,true
340,0.000251,false
350,0.000268,true
350,0.000266,false
360,0.000279,true
360,0.000292,false
370,0.000290,true
370,0.000308,false
380,0.000312,true
380,0.000323,false
390,0.000323,true
390,0.000345,false
400,0.000346,true
400,0.000359,false
410,0.000379,true
410,0.000375,false
420,0.000409,true
420,0.000424,false
430,0.000405,true
430,0.000443,false
440,0.000444,true
440,0.000459,false
450,0.000460,true
450,0.000466,false
460,0.000481,true
460,0.000477,false
470,0.000475,true
470,0.000466,false
480,0.000515,true
480,0.000485,false
490,0.000506,true
490,0.000502,false
500,0.000525,true
500,0.000553,false
510,0.000545,true
510,0.000546,false
520,0.000567,true
520,0.000570,false
530,0.000633,true
530,0.000588,false
540,0.000628,true
540,0.000610,false
550,0.000634,true
550,0.000629,false
560,0.000661,true
560,0.000653,false
570,0.000686,true
570,0.000678,false
580,0.000706,true
580,0.000707,false
590,0.000729,true
590,0.000726,false
600,0.000753,true
600,0.000748,false
610,0.000777,true
610,0.000776,false
620,0.000809,true
620,0.000798,false
630,0.000835,true
630,0.000853,false
640,0.000857,true
640,0.000849,false
650,0.000889,true
650,0.000921,false
660,0.000918,true
660,0.000906,false
670,0.000964,true
670,0.000936,false
680,0.001030,true
680,0.000960,false
690,0.000990,true
690,0.000985,false
700,0.001047,true
700,0.001046,false
710,0.001049,true
710,0.001119,false
720,0.001078,true
720,0.001156,false
730,0.001147,true
730,0.001103,false
740,0.001214,true
740,0.001197,false
750,0.001160,true
750,0.001162,false
760,0.001197,true
760,0.001271,false
770,0.001232,true
770,0.001314,false
780,0.001312,true
780,0.001256,false
790,0.001295,true
790,0.001288,false
800,0.001371,true
800,0.001338,false
810,0.001457,true
810,0.001451,false
820,0.001389,true
820,0.001397,false
830,0.001490,true
830,0.001545,false
840,0.001469,true
840,0.001563,false
850,0.001501,true
850,0.001490,false
860,0.001533,true
860,0.001524,false
870,0.001655,true
870,0.001563,false
880,0.001596,true
880,0.001596,false
890,0.001636,true
890,0.001731,false
900,0.001677,true
900,0.001667,false
910,0.001791,true
910,0.001831,false
920,0.001745,true
920,0.001742,false
930,0.001873,true
930,0.001777,false
940,0.001954,true
940,0.001935,false
950,0.001996,true
950,0.001988,false
960,0.001899,true
960,0.002027,false
970,0.001941,true
970,0.002076,false
980,0.002093,true
980,0.002121,false
990,0.002029,true
990,0.002160,false
1000,0.002198,true
1000,0.002208,false
