node_count,average_time,is_isomorphic
10,0.000005,true
10,0.000005,false
20,0.000005,true
20,0.000005,false
30,0.000005,true
30,0.000005,false
40,0.000007,true
40,0.000008,false
50,0.000009,true
50,0.000011,false
60,0.000015,true
60,0.000015,false
70,0.000023,true
70,0.000024,false
80,0.000029,true
80,0.000031,false
90,0.000037,true
90,0.000038,false
100,0.000044,true
100,0.000044,false
110,0.000053,true
110,0.000052,false
120,0.000060,true
120,0.000063,false
130,0.000070,true
130,0.000070,false
140,0.000082,true
140,0.000082,false
150,0.000093,true
150,0.000094,false
160,0.000102,true
160,0.000105,false
170,0.000114,true
170,0.000116,false
180,0.000128,true
180,0.000130,false
190,0.000141,true
190,0.000144,false
200,0.000164,true
200,0.000160,false
210,0.000174,true
210,0.000175,false
220,0.000192,true
220,0.000191,false
230,0.000207,true
230,0.000208,false
240,0.000223,true
240,0.000223,false
250,0.000241,true
250,0.000239,false
260,0.000260,true
260,0.000263,false
270,0.000276,true
270,0.000282,false
280,0.000297,true
280,0.000302,false
290,0.000322,true
290,0.000329,false
300,0.000343,true
300,0.000340,false
310,0.000362,true
310,0.000362,false
320,0.000385,true
320,0.000386,false
330,0.000408,true
330,0.000414,false
340,0.000430,true
340,0.000438,false
350,0.000463,true
350,0.000461,false
360,0.000480,true
360,0.000485,false
370,0.000508,true
370,0.000514,false
380,0.000530,true
380,0.000537,false
390,0.000563,true
390,0.000566,false
400,0.000599,true
400,0.000594,false
410,0.000622,true
410,0.000629,false
420,0.000649,true
420,0.000650,false
430,0.000682,true
430,0.000684,false
440,0.000709,true
440,0.000717,false
450,0.000741,true
450,0.000746,false
460,0.000772,true
460,0.000781,false
470,0.000807,true
470,0.000814,false
480,0.000844,true
480,0.000847,false
490,0.000879,true
490,0.000879,false
500,0.000906,true
500,0.000922,false
