node_count,average_time,is_isomorphic
10,0.000005,true
10,0.000004,false
20,0.000002,true
20,0.000005,false
30,0.000004,true
30,0.000005,false
40,0.000005,true
40,0.000005,false
50,0.000004,true
50,0.000006,false
60,0.000005,true
60,0.000007,false
70,0.000008,true
70,0.000010,false
80,0.000010,true
80,0.000010,false
90,0.000014,true
90,0.000012,false
100,0.000013,true
100,0.000013,false
110,0.000015,true
110,0.000015,false
120,0.000015,true
120,0.000018,false
130,0.000017,true
130,0.000019,false
140,0.000022,true
140,0.000022,false
150,0.000023,true
150,0.000025,false
160,0.000022,true
160,0.000027,false
170,0.000024,true
170,0.000031,false
180,0.000032,true
180,0.000033,false
190,0.000034,true
190,0.000036,false
200,0.000035,true
200,0.000044,false
210,0.000042,true
210,0.000044,false
220,0.000039,true
220,0.000050,false
230,0.000049,true
230,0.000048,false
240,0.000051,true
240,0.000057,false
250,0.000049,true
250,0.000057,false
260,0.000061,true
260,0.000065,false
270,0.000059,true
270,0.000070,false
280,0.000064,true
280,0.000066,false
290,0.000074,true
290,0.000078,false
300,0.000065,true
300,0.000077,false
310,0.000077,true
310,0.000073,false
320,0.000075,true
320,0.000089,false
330,0.000082,true
330,0.000096,false
340,0.000096,true
340,0.000092,false
350,0.000094,true
350,0.000096,false
360,0.000097,true
360,0.000108,false
370,0.000103,true
370,0.000112,false
380,0.000102,true
380,0.000116,false
390,0.000118,true
390,0.000118,false
400,0.000132,true
400,0.000130,false
410,0.000127,true
410,0.000145,false
420,0.000134,true
420,0.000140,false
430,0.000142,true
430,0.000143,false
440,0.000139,true
440,0.000142,false
450,0.000142,true
450,0.000150,false
460,0.000164,true
460,0.000168,false
470,0.000171,true
470,0.000166,false
480,0.000163,true
480,0.000171,false
490,0.000177,true
490,0.000185,false
500,0.000171,true
500,0.000189,false
510,0.000177,true
510,0.000193,false
520,0.000197,true
520,0.000210,false
530,0.000198,true
530,0.000212,false
540,0.000214,true
540,0.000219,false
550,0.000211,true
550,0.000224,false
560,0.000220,true
560,0.000225,false
570,0.000231,true
570,0.000231,false
580,0.000235,true
580,0.000244,false
590,0.000245,true
590,0.000257,false
600,0.000265,true
600,0.000263,false
610,0.000272,true
610,0.000272,false
620,0.000282,true
620,0.000270,false
630,0.000267,true
630,0.000277,false
640,0.000284,true
640,0.000288,false
650,0.000298,true
650,0.000300,false
660,0.000303,true
660,0.000311,false
670,0.000309,true
670,0.000322,false
680,0.000320,true
680,0.000323,false
690,0.000337,true
690,0.000330,false
700,0.000335,true
700,0.000334,false
710,0.000356,true
710,0.000356,false
720,0.000370,true
720,0.000362,false
730,0.000371,true
730,0.000372,false
740,0.000383,true
740,0.000379,false
750,0.000387,true
750,0.000384,false
760,0.000406,true
760,0.000390,false
770,0.000420,true
770,0.000411,false
780,0.000414,true
780,0.000422,false
790,0.000452,true
790,0.000429,false
800,0.000446,true
800,0.000441,false
810,0.000458,true
810,0.000445,false
820,0.000465,true
820,0.000454,false
830,0.000484,true
830,0.000463,false
840,0.000490,true
840,0.000486,false
850,0.000505,true
850,0.000492,false
860,0.000529,true
860,0.000502,false
870,0.000523,true
870,0.000506,false
880,0.000541,true
880,0.000515,false
890,0.000545,true
890,0.000526,false
900,0.000551,true
900,0.000541,false
910,0.000556,true
910,0.000554,false
920,0.000578,true
920,0.000567,false
930,0.000579,true
930,0.000598,false
940,0.000600,true
940,0.000617,false
950,0.000596,true
950,0.000599,false
960,0.000608,true
960,0.000604,false
970,0.000618,true
970,0.000625,false
980,0.000642,true
980,0.000630,false
990,0.000641,true
990,0.000654,false
1000,0.000663,true
1000,0.000664,false
