node_count,average_time,is_isomorphic
10,0.000003,true
10,0.000004,false
20,0.000003,true
20,0.000005,false
30,0.000006,true
30,0.000006,false
40,0.000007,true
40,0.000009,false
50,0.000010,true
50,0.000011,false
60,0.000014,true
60,0.000015,false
70,0.000023,true
70,0.000023,false
80,0.000030,true
80,0.000028,false
90,0.000039,true
90,0.000036,false
100,0.000046,true
100,0.000046,false
110,0.000060,true
110,0.000053,false
120,0.000065,true
120,0.000062,false
130,0.000075,true
130,0.000078,false
140,0.000086,true
140,0.000089,false
150,0.000098,true
150,0.000101,false
160,0.000112,true
160,0.000114,false
170,0.000125,true
170,0.000126,false
180,0.000135,true
180,0.000142,false
190,0.000151,true
190,0.000155,false
200,0.000167,true
200,0.000163,false
210,0.000192,true
210,0.000180,false
220,0.000207,true
220,0.000191,false
230,0.000218,true
230,0.000210,false
240,0.000240,true
240,0.000226,false
250,0.000252,true
250,0.000241,false
260,0.000278,true
260,0.000267,false
270,0.000299,true
270,0.000300,false
280,0.000328,true
280,0.000315,false
290,0.000349,true
290,0.000323,false
300,0.000365,true
300,0.000345,false
310,0.000386,true
310,0.000365,false
320,0.000416,true
320,0.000397,false
330,0.000437,true
330,0.000414,false
340,0.000470,true
340,0.000455,false
350,0.000493,true
350,0.000458,false
360,0.000517,true
360,0.000506,false
370,0.000514,true
370,0.000510,false
380,0.000540,true
380,0.000564,false
390,0.000588,true
390,0.000609,false
400,0.000607,true
400,0.000600,false
410,0.000650,true
410,0.000653,false
420,0.000708,true
420,0.000654,false
430,0.000748,true
430,0.000683,false
440,0.000789,true
440,0.000745,false
450,0.000812,true
450,0.000805,false
460,0.000842,true
460,0.000781,false
470,0.000831,true
470,0.000813,false
480,0.000859,true
480,0.000889,false
490,0.000944,true
490,0.000878,false
500,0.000977,true
500,0.000965,false
510,0.001025,true
510,0.000950,false
520,0.001066,true
520,0.001050,false
530,0.001104,true
530,0.001024,false
540,0.001066,true
540,0.001132,false
550,0.001167,true
550,0.001102,false
560,0.001130,true
560,0.001215,false
570,0.001171,true
570,0.001264,false
580,0.001296,true
580,0.001224,false
590,0.001318,true
590,0.001348,false
600,0.001401,true
600,0.001304,false
610,0.001437,true
610,0.001350,false
620,0.001384,true
620,0.001391,false
630,0.001534,true
630,0.001443,false
640,0.001469,true
640,0.001501,false
650,0.001634,true
650,0.001556,false
660,0.001563,true
660,0.001596,false
670,0.001610,true
670,0.001637,false
680,0.001780,true
680,0.001682,false
690,0.001709,true
690,0.001727,false
700,0.001893,true
700,0.001779,false
710,0.001948,true
710,0.001847,false
720,0.002005,true
720,0.001890,false
730,0.001923,true
730,0.001940,false
740,0.001973,true
740,0.001986,false
750,0.002039,true
750,0.002034,false
760,0.002129,true
760,0.002094,false
770,0.002155,true
770,0.002152,false
780,0.002212,true
780,0.002213,false
790,0.002258,true
790,0.002264,false
800,0.002327,true
800,0.002304,false
810,0.002519,true
810,0.002365,false
820,0.002573,true
820,0.002434,false
830,0.002469,true
830,0.002490,false
840,0.002677,true
840,0.002557,false
850,0.002779,true
850,0.002619,false
860,0.002728,true
860,0.002672,false
870,0.002916,true
870,0.002731,false
880,0.002762,true
880,0.002799,false
890,0.003019,true
890,0.002848,false
900,0.003091,true
900,0.002928,false
910,0.002953,true
910,0.002973,false
920,0.003021,true
920,0.003038,false
930,0.003151,true
930,0.003097,false
940,0.003176,true
940,0.003158,false
950,0.003248,true
950,0.003213,false
960,0.003346,true
960,0.003282,false
970,0.003428,true
970,0.003365,false
980,0.003683,true
980,0.003452,false
990,0.003752,true
990,0.003512,false
1000,0.003545,true
1000,0.003623,false
